axiom,family,module,origin,primary_kernel,shape_class,arith_domain,primitive_steps,peak_bignum_bits,max_nat_literal_digits,note,law,law_note,pred_cpu_s,pred_rss_mb,decides
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified._native.native_decide.ax_1_5,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SII,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell,log_enclose_full,proxy: each cell priced as its transcendental nodes,21.112820452246844,2533.6894711756972,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified._native.native_decide.ax_1_6,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SII,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell,log_enclose_full,proxy: each cell priced as its transcendental nodes,21.112820452246844,2533.6894711756972,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified._native.native_decide.ax_1_7,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SII,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell,log_enclose_full,proxy: each cell priced as its transcendental nodes,21.112820452246844,2533.6894711756972,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified._native.native_decide.ax_1_8,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SII,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell,log_enclose_full,proxy: each cell priced as its transcendental nodes,21.112820452246844,2533.6894711756972,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified._native.native_decide.ax_1_9,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SII,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell,log_enclose_full,proxy: each cell priced as its transcendental nodes,21.112820452246844,2533.6894711756972,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_certificate_small_c0_A_one_lowLo._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandEndpointCertificateTightSmallC0Deep,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_certificate_small_c0_A_one_lowLo,IntervalArith.RatInterval.adaptiveUpper,bisection-tree,Rat/RatInterval,0,,1,"pruned binary bisection, worst case 2^(fuel+1)-1 leaf evaluations",log_enclose_full,proxy: each cell priced as its transcendental nodes,0.08279537432253664,9.93603714186548,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_safe_small_c0_A_one_lowLo._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandEndpointCertificateTightSmallC0,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_safe_small_c0_A_one_lowLo,(named constants only),fixed-expression,Rat/RatInterval,1,,0,constant-depth comparison of named constants,CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_high._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandEndpointCertificateTightHigh,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_high,IntervalArith.RatInterval.adaptiveUpper,bisection-tree,Rat/RatInterval,0,,1,"pruned binary bisection, worst case 2^(fuel+1)-1 leaf evaluations",log_enclose_full,proxy: each cell priced as its transcendental nodes,0.08279537432253664,9.93603714186548,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_medium._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandEndpointCertificateTightMedium,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_medium,IntervalArith.RatInterval.adaptiveUpper,bisection-tree,Rat/RatInterval,0,,1,"pruned binary bisection, worst case 2^(fuel+1)-1 leaf evaluations",log_enclose_full,proxy: each cell priced as its transcendental nodes,0.08279537432253664,9.93603714186548,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_small_c0_rest._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandEndpointCertificateTightSmallC0,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_small_c0_rest,IntervalArith.RatInterval.adaptiveUpper,bisection-tree,Rat/RatInterval,0,,1,"pruned binary bisection, worst case 2^(fuel+1)-1 leaf evaluations",log_enclose_full,proxy: each cell priced as its transcendental nodes,0.08279537432253664,9.93603714186548,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_small_c1_c2._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandEndpointCertificateTightSmallC1C2,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_small_c1_c2,IntervalArith.RatInterval.adaptiveUpper,bisection-tree,Rat/RatInterval,0,,1,"pruned binary bisection, worst case 2^(fuel+1)-1 leaf evaluations",log_enclose_full,proxy: each cell priced as its transcendental nodes,0.08279537432253664,9.93603714186548,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_small_c3_c4._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandEndpointCertificateTightSmallC3C4,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_small_c3_c4,IntervalArith.RatInterval.adaptiveUpper,bisection-tree,Rat/RatInterval,0,,1,"pruned binary bisection, worst case 2^(fuel+1)-1 leaf evaluations",log_enclose_full,proxy: each cell priced as its transcendental nodes,0.08279537432253664,9.93603714186548,1
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_small_tail._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandEndpointCertificateTightSmallTail,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginTight_verified_small_tail,IntervalArith.RatInterval.adaptiveUpper,bisection-tree,Rat/RatInterval,0,,1,"pruned binary bisection, worst case 2^(fuel+1)-1 leaf evaluations",log_enclose_full,proxy: each cell priced as its transcendental nodes,0.08279537432253664,9.93603714186548,1
MathExtras.Helfgott.SIIMargin.mkA_cert._native.native_decide.ax_1_1,HelfgottCertificates,HelfgottCertificates.SIIMarginCertificate,MathExtras.Helfgott.SIIMargin.mkA_cert,IntervalArith.RatInterval.interval_bisect,bisection-tree,Rat/RatInterval,468218,,6,unconditional 2^depth leaf evaluations,log_enclose_full,proxy: each cell priced as its transcendental nodes,1360.5377751283756,8000.0,28
MathExtras.Helfgott.SIIMargin.mkB_cert._native.native_decide.ax_1_1,HelfgottCertificates,HelfgottCertificates.SIIMarginCertificate,MathExtras.Helfgott.SIIMargin.mkB_cert,IntervalArith.RatInterval.interval_bisect,bisection-tree,Rat/RatInterval,468218,,6,unconditional 2^depth leaf evaluations,log_enclose_full,proxy: each cell priced as its transcendental nodes,1360.5377751283756,8000.0,28
MathExtras.Helfgott.SIIMargin.mkC_cert._native.native_decide.ax_1_1,HelfgottCertificates,HelfgottCertificates.SIIMarginCertificate,MathExtras.Helfgott.SIIMargin.mkC_cert,IntervalArith.RatInterval.interval_bisect,bisection-tree,Rat/RatInterval,468218,,6,unconditional 2^depth leaf evaluations,log_enclose_full,proxy: each cell priced as its transcendental nodes,1360.5377751283756,8000.0,28
MathExtras.Helfgott.Section24.Head30000.scan_ok_cert._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott.Certs,MathExtras.NumberTheory.Helfgott.Certs.LogWeightedMertensHead30000Cert,MathExtras.Helfgott.Section24.Head30000.scan_ok_cert,MathExtras.Helfgott.Section24.Head30000.scan,linear-fold-rat,"RatInterval, wround pinned",30000,,0,"NON-TAIL recursion, 30000 levels deep",chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",283.96951374016265,8000.0,5
MathExtras.Helfgott.WACor49Eta2ExpMomentCert.eta2Enclosure_hi._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.WACor49Eta2ExpMomentCert,MathExtras.Helfgott.WACor49Eta2ExpMomentCert.eta2Enclosure_hi,(named constants only),fixed-expression,Rat/RatInterval,1,,0,constant-depth comparison of named constants,CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.Helfgott.WACor49Eta2ExpMomentCert.leftM4_hi._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.WACor49Eta2ExpMomentCert,MathExtras.Helfgott.WACor49Eta2ExpMomentCert.leftM4_hi,IntervalArith.RatInterval.interval_bisect,bisection-tree,Rat/RatInterval,4,,1,unconditional 2^depth leaf evaluations,log_enclose_full,proxy: each cell priced as its transcendental nodes,0.08279537432253664,9.93603714186548,1
MathExtras.Helfgott.WACor49Eta2ExpMomentCert.rightM4_hi._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.WACor49Eta2ExpMomentCert,MathExtras.Helfgott.WACor49Eta2ExpMomentCert.rightM4_hi,IntervalArith.RatInterval.interval_bisect,bisection-tree,Rat/RatInterval,1200000,,7,unconditional 2^depth leaf evaluations,log_enclose_full,proxy: each cell priced as its transcendental nodes,3553.927021868803,8000.0,77
MathExtras.Helfgott.WAProp48QuadraticInvSqrtCert.quarticGaussianEnclosure_hi._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.WAProp48QuadraticInvSqrtCert,MathExtras.Helfgott.WAProp48QuadraticInvSqrtCert.quarticGaussianEnclosure_hi,(named constants only),fixed-expression,Rat/RatInterval,1,,7,constant-depth comparison of named constants,CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.Helfgott.WAProp48QuadraticLogL2Cert.d4Enclosure_hi._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.WAProp48QuadraticLogL2Cert,MathExtras.Helfgott.WAProp48QuadraticLogL2Cert.d4Enclosure_hi,(named constants only),fixed-expression,Rat/RatInterval,1,,5,constant-depth comparison of named constants,CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.Helfgott.WAProp48QuadraticLogL2Cert.d4Enclosure_lo._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.WAProp48QuadraticLogL2Cert,MathExtras.Helfgott.WAProp48QuadraticLogL2Cert.d4Enclosure_lo,(named constants only),fixed-expression,Rat/RatInterval,1,,5,constant-depth comparison of named constants,CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.Helfgott.WAProp48QuadraticLogL2Cert.logMomentEnclosure_hi._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.WAProp48QuadraticLogL2Cert,MathExtras.Helfgott.WAProp48QuadraticLogL2Cert.logMomentEnclosure_hi,(named constants only),fixed-expression,Rat/RatInterval,1,,8,constant-depth comparison of named constants,CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.Helfgott.ZetaThreeHalves.zeta32_partial_cert._native.native_decide.ax_1_1,HelfgottCertificates,HelfgottCertificates.ZetaThreeHalvesCert,MathExtras.Helfgott.ZetaThreeHalves.zeta32_partial_cert,(named constants only),fixed-expression,Rat/RatInterval,1,,13,constant-depth comparison of named constants,CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.Helfgott1221.cert_m1._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.Helfgott1221FiniteLeaves,MathExtras.Helfgott1221.cert_m1,MathExtras.Helfgott1221.checkAll,linear-fold-rat,"Rat (exact product, growing)",300500,,4,qmax cells x (|S| exact Rat mults + 2 log series),chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",2328.5500126693337,8000.0,41
MathExtras.Helfgott1221.cert_m2._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.Helfgott1221FiniteLeaves,MathExtras.Helfgott1221.cert_m2,MathExtras.Helfgott1221.checkAll,linear-fold-rat,"Rat (exact product, growing)",110750,,4,qmax cells x (|S| exact Rat mults + 2 log series),chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",851.9085412204879,8000.0,15
MathExtras.Helfgott1221.cert_m3._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.Helfgott1221FiniteLeaves,MathExtras.Helfgott1221.cert_m3,MathExtras.Helfgott1221.checkAll,linear-fold-rat,"Rat (exact product, growing)",40750,,3,qmax cells x (|S| exact Rat mults + 2 log series),chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",340.76341648819516,8000.0,6
MathExtras.Helfgott1221.cert_m4._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.Helfgott1221FiniteLeaves,MathExtras.Helfgott1221.cert_m4,MathExtras.Helfgott1221.checkAll,linear-fold-rat,"Rat (exact product, growing)",15000,,3,qmax cells x (|S| exact Rat mults + 2 log series),chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",170.38170824409758,8000.0,3
MathExtras.Helfgott1221.cert_m5._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.Helfgott1221FiniteLeaves,MathExtras.Helfgott1221.cert_m5,MathExtras.Helfgott1221.checkAll,linear-fold-rat,"Rat (exact product, growing)",5550,,3,qmax cells x (|S| exact Rat mults + 2 log series),chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",42.10179303394118,6075.952884900995,1
MathExtras.Helfgott1221.cert_m6._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.Helfgott1221FiniteLeaves,MathExtras.Helfgott1221.cert_m6,MathExtras.Helfgott1221.checkAll,linear-fold-rat,"Rat (exact product, growing)",2050,,2,qmax cells x (|S| exact Rat mults + 2 log series),chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",15.43296611757115,2415.7493438253136,1
MathExtras.Helfgott1221.cert_m7._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.Helfgott1221FiniteLeaves,MathExtras.Helfgott1221.cert_m7,MathExtras.Helfgott1221.checkAll,linear-fold-rat,"Rat (exact product, growing)",1200,,2,qmax cells x (|S| exact Rat mults + 2 log series),chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",8.99696264422082,1471.2036675187494,1
MathExtras.Helfgott1221.cert_m8._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.Helfgott1221FiniteLeaves,MathExtras.Helfgott1221.cert_m8,MathExtras.Helfgott1221.checkAll,linear-fold-rat,"Rat (exact product, growing)",1200,,2,qmax cells x (|S| exact Rat mults + 2 log series),chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",8.99696264422082,1471.2036675187494,1
MathExtras.Helfgott1221.cert_m9._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.Helfgott1221FiniteLeaves,MathExtras.Helfgott1221.cert_m9,MathExtras.Helfgott1221.checkAll,linear-fold-rat,"Rat (exact product, growing)",1200,,2,qmax cells x (|S| exact Rat mults + 2 log series),chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",8.99696264422082,1471.2036675187494,1
MathExtras.HelfgottLargeQ.masterCheck_holds._native.native_decide.ax_1_1,Rs62Certificates,Rs62Certificates.HelfgottLargeQBlockLeaves,MathExtras.HelfgottLargeQ.masterCheck_holds,MathExtras.HelfgottLargeQ.masterCheck,fixed-expression,Rat,24,,2,112 leaves; already kernel-decided upstream,CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.LiouvilleSweep.ellSweep_cert._native.native_decide.ax_1_1,MathExtras.NumberTheory.Certs,MathExtras.NumberTheory.Certs.LiouvilleLittleSumSweepCert,MathExtras.LiouvilleSweep.ellSweep_cert,MathExtras.LiouvilleSweep.ladderRun,linear-fold-sieve,Int (<= 2^50),4000000,,19,"65 bands, lambda per step",rs62_loopE,proxy: same per-step work (one minFac / IsPrimePow / Squarefree decision),6481.116612880241,8000.0,108
MathExtras.NumberTheory.Analysis.MV73Lemma7Floor.certFrom_five._native.native_decide.ax_1_1,MathExtras.NumberTheory.Analysis,MathExtras.NumberTheory.Analysis.MV73Lemma7FiniteCert,MathExtras.NumberTheory.Analysis.MV73Lemma7Floor.certFrom_five,MathExtras.NumberTheory.Analysis.MV73Lemma7Floor.certFrom,linear-fold-rat,"Rat (denominator = lcm of phi(r), grows)",3595,,4,exact rational Mertens-type sum,chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",27.18080960503107,4064.0835181461994,1
MathExtras.NumberTheory.Analysis.MV73WeightedFloorSevenTwentieths.gridC_cert._native.native_decide.ax_1_1,MathExtras.NumberTheory.Analysis,MathExtras.NumberTheory.Analysis.MV73WeightedFloorSevenTwentiethsCert,MathExtras.NumberTheory.Analysis.MV73WeightedFloorSevenTwentieths.gridC_cert,MathExtras.NumberTheory.Analysis.MV73WeightedFloorSevenTwentieths.passC,linear-fold-rat,Rat (1000-term exact sum),1000,,4,~995 grid cells,chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",7.487009071688748,1242.6397308189664,1
MathExtras.NumberTheory.Analysis.MV73WeightedFloorSevenTwentieths.gridD_cert._native.native_decide.ax_1_1,MathExtras.NumberTheory.Analysis,MathExtras.NumberTheory.Analysis.MV73WeightedFloorTwoFifthsCert,MathExtras.NumberTheory.Analysis.MV73WeightedFloorSevenTwentieths.gridD_cert,MathExtras.NumberTheory.Analysis.MV73WeightedFloorSevenTwentieths.passD,linear-fold-rat,Rat (1000-term exact sum),1000,,4,~1003 grid cells,chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",7.487009071688748,1242.6397308189664,1
MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_0_3._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertA5Small,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_0_3,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.numMomentEval,fixed-expression,"CInterval, roundOutC 2^120",120,120,4,"linear K<=60 series, roundOutC pins denominators at 2^120",CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_1130_end._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertA5WideB,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_1130_end,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.numEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,6,"bisection fuel 20; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,581.107503620539,8000.0,12
MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_35_4._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertA5Small,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_35_4,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.numEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,3,"bisection fuel 20; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,551.9139652340292,8000.0,9
MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_3_35._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertA5Small,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_3_35,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.numEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,3,"bisection fuel 20; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,551.9139652340292,8000.0,9
MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_4_8._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertA5Small,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_4_8,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.numEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,3,"bisection fuel 20; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,551.9139652340292,8000.0,9
MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_8_1130._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertA5WideA,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.cert_a5_band_8_1130,MathExtras.NumberTheory.Helfgott.AppendixA5Certificates.numEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,4,"bisection fuel 20; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,560.835620279836,8000.0,10
MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_0_3._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertSmall,MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_0_3,MathExtras.NumberTheory.Helfgott.AppendixACertificates.momentEval,fixed-expression,"CInterval, roundOutC 2^120",120,120,9,"linear K<=60 series, roundOutC pins denominators at 2^120",CONSTANT,"constant depth, below measurement resolution",0.1,10.0,1
MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_12_16._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertMid,MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_12_16,MathExtras.NumberTheory.Helfgott.AppendixACertificates.bandEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,9,"K^2 complex mults per cell; bisection fuel 34; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,616.2928329300045,8000.0,15
MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_16_655._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertWide,MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_16_655,MathExtras.NumberTheory.Helfgott.AppendixACertificates.bandEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,9,"K^2 complex mults per cell; bisection fuel 34; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,616.2928329300045,8000.0,15
MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_3_4._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertSmall,MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_3_4,MathExtras.NumberTheory.Helfgott.AppendixACertificates.bandEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,9,"K^2 complex mults per cell; bisection fuel 34; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,616.2928329300045,8000.0,15
MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_4_5._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertSmall,MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_4_5,MathExtras.NumberTheory.Helfgott.AppendixACertificates.bandEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,9,"K^2 complex mults per cell; bisection fuel 34; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,616.2928329300045,8000.0,15
MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_5_6._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertSmall,MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_5_6,MathExtras.NumberTheory.Helfgott.AppendixACertificates.bandEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,9,"K^2 complex mults per cell; bisection fuel 34; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,616.2928329300045,8000.0,15
MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_6_7._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.AppendixACertSmall,MathExtras.NumberTheory.Helfgott.AppendixACertificates.cert_band_6_7,MathExtras.NumberTheory.Helfgott.AppendixACertificates.bandEval,bisection-tree,"CInterval, roundOutC 2^120",200000,120,9,"K^2 complex mults per cell; bisection fuel 34; adaptiveUpper fuel 20-34, roundOutC pins denominators at 2^120",log_enclose_full,proxy: each cell priced as its transcendental nodes,616.2928329300045,8000.0,15
